,Unnamed: 0,Lokasyonlar,Urunler,Adresler,item_new_number
0,0,0,350,C01A01A,901198416
1,1,1,1222,C01B01A,903503306
2,2,2,2066,C01A01B,906220208
3,3,3,2869,C01B01B,911151507
4,4,4,2065,C01A01C,906220108
5,5,5,2851,C01B01C,911130303
6,6,6,10,C01A03A,901002012
7,7,7,1582,C01B03A,904102608
8,8,8,3023,C01A03B,911846203
9,9,9,3635,C01B03B,921201903
10,10,10,1204,C01A03C,903382607
11,11,11,867,C01B03C,902420009
12,12,12,1946,C01A05A,905961708
13,13,13,1561,C01B05A,904082708
14,14,14,3462,C01A05B,916777107
15,15,15,138,C01B05B,901060007
16,16,16,2317,C01A05C,908200007
17,17,17,218,C01B05C,901111708
18,18,18,2570,C01A07A,909820905
19,19,19,3866,C01B07A,942014516
20,20,20,2885,C01A07B,911211509
21,21,21,1628,C01B07B,904171205
22,22,22,2429,C01A07C,908969908
23,23,23,1801,C01B07C,905111709
24,24,24,1285,C01A09A,903573109
25,25,25,968,C01B09A,903020805
26,26,26,2068,C01A09B,906220508
27,27,27,1522,C01B09B,904065008
28,28,28,3626,C01A09C,921160103
29,29,29,2955,C01B09C,911557607
30,30,30,1099,C01A11A,903098407
31,31,31,3429,C01B11A,916171807
32,32,32,2019,C01A11B,906165408
33,33,33,971,C01B11B,903021105
34,34,34,2146,C01A11C,907023607
35,35,35,162,C01B11C,901090308
36,36,36,2079,C01A13A,906300108
37,37,37,2799,C01B13A,911028007
38,38,38,2078,C01A13B,906300008
39,39,39,2070,C01B13B,906221708
40,40,40,1536,C01A13C,904067608
41,41,41,2858,C01B13C,911131503
42,42,42,1964,C01A15A,905996009
43,43,43,990,C01B15A,903025305
44,44,44,2773,C01A15B,911009404
45,45,45,1541,C01B15B,904068408
46,46,46,550,C01A15C,901687705
47,47,47,2920,C01B15C,911236404
48,48,48,15,C01A17A,901002207
49,49,49,448,C01B17A,901383807
50,50,50,2495,C01A17B,909005608
51,51,51,3355,C01B17B,915584307
52,52,52,3431,C01A17C,916200604
53,53,53,98,C01B17C,901018907
54,54,54,1526,C01A19A,904065408
55,55,55,964,C01B19A,903020105
56,56,56,647,C01A19B,901979507
57,57,57,2536,C01B19B,909640105
58,58,58,215,C01A19C,901110707
59,59,59,1032,C01B19C,903035805
60,60,60,2627,C01A21A,909913405
61,61,61,2626,C01B21A,909913305
62,62,62,1636,C01A21B,904207307
63,63,63,99,C01B21B,901019107
64,64,64,3419,C01A21C,916081707
65,65,65,2581,C01B21C,909826105
66,66,66,589,C01A23A,901711707
67,67,67,1176,C01B23A,903374507
68,68,68,1434,C01A23B,904006307
69,69,69,2041,C01B23B,906215909
70,70,70,89,C01A23C,901017907
71,71,71,3022,C01B23C,911844903
72,72,72,655,C01A25A,901993107
73,73,73,2712,C01B25A,910400205
74,74,74,104,C01A25B,901019607
75,75,75,760,C01B25B,902125816
76,76,76,605,C01A25C,901808407
77,77,77,843,C01B25C,902415309
78,78,78,2746,C01A27A,911003108
79,79,79,3692,C01B27A,923152703
80,80,80,2005,C01A27B,906111208
81,81,81,2080,C01B27B,906300508
82,82,82,2285,C01A27C,908019907
83,83,83,322,C01B27C,901175508
84,84,84,1245,C01A02A,903515208
85,85,85,3345,C01B02A,915570907
86,86,86,414,C01A02B,901316506
87,87,87,828,C01B02B,902378946
88,88,88,2022,C01A02C,906165708
89,89,89,1932,C01B02C,905773505
90,90,90,216,C01A04A,901111007
91,91,91,3761,C01B04A,929074416
92,92,92,2727,C01A04B,910671005
93,93,93,1942,C01B04B,905960308
94,94,94,3257,C01A04C,913421003
95,95,95,2160,C01B04C,907201906
96,96,96,928,C01A06A,902960007
97,97,97,2863,C01B06A,911141103
98,98,98,705,C01A06B,902013105
99,99,99,404,C01B06B,901298306
100,100,100,3376,C01A06C,916003507
101,101,101,3441,C01B06C,916304907
102,102,102,2806,C01A08A,911040204
103,103,103,967,C01B08A,903020705
104,104,104,978,C01A08B,903021805
105,105,105,236,C01B08B,901117901
106,106,106,3668,C01A08C,922268803
107,107,107,3661,C01B08C,922263403
108,108,108,972,C01A10A,903021205
109,109,109,1001,C01B10A,903028505
110,110,110,1010,C01A10B,903032805
111,111,111,1656,C01B10B,904361907
112,112,112,33,C01A10C,901005107
113,113,113,3279,C01B10C,913430703
114,114,114,421,C01A12A,901328907
115,115,115,19,C01B12A,901002509
116,116,116,1999,C01A12B,906055208
117,117,117,3163,C01B12B,913160204
118,118,118,2819,C01A12C,911070404
119,119,119,2836,C01B12C,911109904
120,120,120,1337,C01A14A,903803307
121,121,121,2493,C01B14A,909002305
122,122,122,650,C01A14B,901984807
123,123,123,3646,C01B14B,922130103
124,124,124,2600,C01A14C,909910705
125,125,125,831,C01B14C,902379446
126,126,126,829,C01A16A,902379046
127,127,127,116,C01B16A,901029709
128,128,128,3455,C01A16B,916766607
129,129,129,3444,C01B16B,916353107
130,130,130,2919,C01A16C,911236304
131,131,131,1581,C01B16C,904102508
132,132,132,2372,C01A18A,908713505
133,133,133,1261,C01B18A,903547109
134,134,134,1531,C01A18B,904065808
135,135,135,2361,C01B18B,908601105
136,136,136,1514,C01A18C,904059408
137,137,137,3503,C01B18C,920020207
138,138,138,1515,C01A20A,904059508
139,139,139,255,C01B20A,901120705
140,140,140,1702,C01A20B,904899607
141,141,141,3349,C01B20B,915576907
142,142,142,167,C01A20C,901094607
143,143,143,54,C01B20C,901010707
144,144,144,3573,C01A22A,920096216
145,145,145,180,C01B22A,901098307
146,146,146,52,C01A22B,901010307
147,147,147,57,C01B22B,901010907
148,148,148,171,C01A22C,901095607
149,149,149,2099,C01B22C,906517208
150,150,150,1993,C01A24A,906024908
151,151,151,1997,C01B24A,906045108
152,152,152,1544,C01A24B,904068808
153,153,153,1978,C01B24B,906017208
154,154,154,1645,C01A24C,904301005
155,155,155,1982,C01B24C,906018908
156,156,156,2543,C01A26A,909642005
157,157,157,1543,C01B26A,904068708
158,158,158,3233,C01A26B,913411203
159,159,159,2498,C01B26B,909056307
160,160,160,1965,C01A26C,905996709
161,161,161,1545,C01B26C,904068908
162,162,162,3067,C01A28A,912019907
163,163,163,1047,C01B28A,903043907
164,164,164,307,C01A28B,901146607
165,165,165,1196,C01B28B,903381607
166,166,166,1335,C01A28C,903803007
167,167,167,2750,C01B28C,911003408
168,168,168,1240,C01A29A,903513306
169,169,169,2884,C01B29A,911211409
170,170,170,3406,C01A29B,916036507
171,171,171,3658,C01B29B,922262603
172,172,172,3650,C01A29C,922232003
173,173,173,3758,C01B29C,929072316
174,174,174,3130,C01A31A,912998207
175,175,175,1950,C01B31A,905962208
176,176,176,7,C01A31B,901002001
177,177,177,2325,C01B31B,908250005
178,178,178,73,C01A31C,901013206
179,179,179,2038,C01B31C,906215309
180,180,180,975,C01A33A,903021505
181,181,181,143,C01B33A,901062107
182,182,182,2551,C01A33B,909648205
183,183,183,2037,C01B33B,906215209
184,184,184,106,C01A33C,901020312
185,185,185,2987,C01B33C,911827203
186,186,186,2960,C01A35A,911730303
187,187,187,3265,C01B35A,913425003
188,188,188,1823,C01A35B,905199508
189,189,189,206,C01B35B,901108307
190,190,190,184,C01A35C,901099707
191,191,191,2850,C01B35C,911130203
192,192,192,3779,C01A37A,929198903
193,193,193,3690,C01B37A,923141003
194,194,194,2693,C01A37B,910204709
195,195,195,3219,C01B37B,913345004
196,196,196,2012,C01A37C,906141906
197,197,197,3183,C01B37C,913211903
198,198,198,420,C01A39A,901325201
199,199,199,1413,C01B39A,903964005
200,200,200,1097,C01A39B,903098107
201,201,201,3361,C01B39B,915587807
202,202,202,1748,C01A39C,905016307
203,203,203,3808,C01B39C,931284803
204,204,204,3695,C01A41A,923153703
205,205,205,2776,C01B41A,911011107
206,206,206,2994,C01A41B,911829103
207,207,207,3810,C01B41B,931285003
208,208,208,2234,C01A41C,907892008
209,209,209,3395,C01B41C,916017507
210,210,210,1093,C01A43A,903088605
211,211,211,315,C01B43A,901167607
212,212,212,1095,C01A43B,903088805
213,213,213,1889,C01B43B,905492708
214,214,214,977,C01A43C,903021705
215,215,215,969,C01B43C,903020905
216,216,216,974,C01A45A,903021405
217,217,217,366,C01B45A,901205307
218,218,218,1864,C01A45B,905430008
219,219,219,2021,C01B45B,906165608
220,220,220,2001,C01A45C,906070308
221,221,221,3537,C01B45C,920035516
222,222,222,2081,C01A47A,906300608
223,223,223,948,C01B47A,903002309
224,224,224,626,C01A47B,901968507
225,225,225,1180,C01B47B,903376009
226,226,226,919,C01A47C,902819908
227,227,227,1534,C01B47C,904066608
228,228,228,770,C01A49A,902155809
229,229,229,1563,C01B49A,904090108
230,230,230,1976,C01A49B,906014908
231,231,231,3608,C01B49B,920984607
232,232,232,28,C01A49C,901004106
233,233,233,1365,C01B49C,903944305
234,234,234,1571,C01A51A,904094308
235,235,235,3708,C01B51A,924293003
236,236,236,2230,C01A51B,907807707
237,237,237,912,C01B51B,902818808
238,238,238,1988,C01A51C,906020509
239,239,239,1669,C01B51C,904525205
240,240,240,1813,C01A53A,905131606
241,241,241,2154,C01B53A,907141006
242,242,242,1812,C01A53B,905130906
243,243,243,88,C01B53B,901017807
244,244,244,2862,C01A53C,911141003
245,245,245,1290,C01B53C,903573709
246,246,246,622,C01A55A,901965907
247,247,247,179,C01B55A,901098207
248,248,248,460,C01A55B,901512506
249,249,249,2533,C01B55B,909631205
250,250,250,1761,C01A55C,905026408
251,251,251,656,C01B55C,901994607
252,252,252,694,C01A30A,902008105
253,253,253,1291,C01B30A,903573809
254,254,254,3396,C01A30B,916017607
255,255,255,3456,C01B30B,916771607
256,256,256,1246,C01A30C,903524908
257,257,257,1313,C01B30C,903702407
258,258,258,3428,C01A32A,916171707
259,259,259,601,C01B32A,901780207
260,260,260,600,C01A32B,901780107
261,261,261,220,C01B32B,901112007
262,262,262,345,C01A32C,901197607
263,263,263,1757,C01B32C,905020907
264,264,264,1118,C01A34A,903130206
265,265,265,213,C01B34A,901110207
266,266,266,2948,C01A34B,911526107
267,267,267,382,C01B34B,901251507
268,268,268,2622,C01A34C,909912805
269,269,269,2029,C01B34C,906210201
270,270,270,2749,C01A36A,911003407
271,271,271,881,C01B36A,902512105
272,272,272,17,C01A36B,901002307
273,273,273,2011,C01B36B,906141706
274,274,274,365,C01A36C,901203909
275,275,275,2534,C01B36C,909631805
276,276,276,2621,C01A38A,909912705
277,277,277,2013,C01B38A,906142006
278,278,278,2646,C01A38B,910002107
