,Unnamed: 0,Lokasyonlar,Urunler,Adresler,item_new_number
0,0,0,350,C01A01A,901198416
1,1,1,1550,C01B01A,904071008
2,2,2,2066,C01A01B,906220208
3,3,3,1973,C01B01B,906000908
4,4,4,2065,C01A01C,906220108
5,5,5,2851,C01B01C,911130303
6,6,6,2855,C01A03A,911130903
7,7,7,1582,C01B03A,904102608
8,8,8,3023,C01A03B,911846203
9,9,9,2967,C01B03B,911811903
10,10,10,792,C01A03C,902271808
11,11,11,867,C01B03C,902420009
12,12,12,3022,C01A05A,911844903
13,13,13,153,C01B05A,901076307
14,14,14,2860,C01A05B,911132503
15,15,15,138,C01B05B,901060007
16,16,16,369,C01A05C,901214507
17,17,17,218,C01B05C,901111708
18,18,18,215,C01A07A,901110707
19,19,19,3866,C01B07A,942014516
20,20,20,3820,C01A07B,932176903
21,21,21,3788,C01B07B,930054016
22,22,22,970,C01A07C,903021005
23,23,23,1801,C01B07C,905111709
24,24,24,1799,C01A09A,905111609
25,25,25,968,C01B09A,903020805
26,26,26,2068,C01A09B,906220508
27,27,27,1522,C01B09B,904065008
28,28,28,3626,C01A09C,921160103
29,29,29,3803,C01B09C,931103403
30,30,30,1099,C01A11A,903098407
31,31,31,2231,C01B11A,907807807
32,32,32,2019,C01A11B,906165408
33,33,33,971,C01B11B,903021105
34,34,34,2002,C01A11C,906070408
35,35,35,162,C01B11C,901090308
36,36,36,2079,C01A13A,906300108
37,37,37,2014,C01B13A,906160108
38,38,38,2078,C01A13B,906300008
39,39,39,2070,C01B13B,906221708
40,40,40,2021,C01A13C,906165608
41,41,41,2858,C01B13C,911131503
42,42,42,241,C01A15A,901118301
43,43,43,2966,C01B15A,911811803
44,44,44,2773,C01A15B,911009404
45,45,45,139,C01B15B,901060107
46,46,46,3536,C01A15C,920035116
47,47,47,2920,C01B15C,911236404
48,48,48,15,C01A17A,901002207
49,49,49,2111,C01B17A,906999008
50,50,50,3839,C01A17B,940095416
51,51,51,3355,C01B17B,915584307
52,52,52,3431,C01A17C,916200604
53,53,53,98,C01B17C,901018907
54,54,54,1526,C01A19A,904065408
55,55,55,366,C01B19A,901205307
56,56,56,2625,C01A19B,909913205
57,57,57,2536,C01B19B,909640105
58,58,58,2570,C01A19C,909820905
59,59,59,611,C01B19C,901822507
60,60,60,2627,C01A21A,909913405
61,61,61,2626,C01B21A,909913305
62,62,62,305,C01A21B,901145107
63,63,63,99,C01B21B,901019107
64,64,64,3419,C01A21C,916081707
65,65,65,2581,C01B21C,909826105
66,66,66,2712,C01A23A,910400205
67,67,67,1176,C01B23A,903374507
68,68,68,2537,C01A23B,909640205
69,69,69,151,C01B23B,901075807
70,70,70,89,C01A23C,901017907
71,71,71,63,C01B23C,901011307
72,72,72,655,C01A25A,901993107
73,73,73,589,C01B25A,901711707
74,74,74,104,C01A25B,901019607
75,75,75,169,C01B25B,901095007
76,76,76,1989,C01A25C,906020808
77,77,77,706,C01B25C,902013205
78,78,78,2746,C01A27A,911003108
79,79,79,1528,C01B27A,904065508
80,80,80,2005,C01A27B,906111208
81,81,81,2080,C01B27B,906300508
82,82,82,2745,C01A27C,911003008
83,83,83,322,C01B27C,901175508
84,84,84,3809,C01A02A,931284903
85,85,85,3345,C01B02A,915570907
86,86,86,146,C01A02B,901070508
87,87,87,116,C01B02B,901029709
88,88,88,2022,C01A02C,906165708
89,89,89,1932,C01B02C,905773505
90,90,90,1508,C01A04A,904055407
91,91,91,3761,C01B04A,929074416
92,92,92,2727,C01A04B,910671005
93,93,93,1942,C01B04B,905960308
94,94,94,3257,C01A04C,913421003
95,95,95,2064,C01B04C,906220008
96,96,96,928,C01A06A,902960007
97,97,97,2863,C01B06A,911141103
98,98,98,705,C01A06B,902013105
99,99,99,2529,C01B06B,909320205
100,100,100,3376,C01A06C,916003507
101,101,101,3441,C01B06C,916304907
102,102,102,2806,C01A08A,911040204
103,103,103,967,C01B08A,903020705
104,104,104,978,C01A08B,903021805
105,105,105,236,C01B08B,901117901
106,106,106,3668,C01A08C,922268803
107,107,107,3661,C01B08C,922263403
108,108,108,972,C01A10A,903021205
109,109,109,1001,C01B10A,903028505
110,110,110,1094,C01A10B,903088705
111,111,111,49,C01B10B,901010107
112,112,112,33,C01A10C,901005107
113,113,113,3631,C01B10C,921200403
114,114,114,2828,C01A12A,911108304
115,115,115,19,C01B12A,901002509
116,116,116,1999,C01A12B,906055208
117,117,117,3163,C01B12B,913160204
118,118,118,2819,C01A12C,911070404
119,119,119,323,C01B12C,901177107
120,120,120,1337,C01A14A,903803307
121,121,121,2493,C01B14A,909002305
122,122,122,650,C01A14B,901984807
123,123,123,649,C01B14B,901984707
124,124,124,2600,C01A14C,909910705
125,125,125,831,C01B14C,902379446
126,126,126,829,C01A16A,902379046
127,127,127,828,C01B16A,902378946
128,128,128,3455,C01A16B,916766607
129,129,129,1513,C01B16B,904059308
130,130,130,2919,C01A16C,911236304
131,131,131,1581,C01B16C,904102508
132,132,132,2372,C01A18A,908713505
133,133,133,1261,C01B18A,903547109
134,134,134,1531,C01A18B,904065808
135,135,135,2361,C01B18B,908601105
136,136,136,1514,C01A18C,904059408
137,137,137,3553,C01B18C,920080116
138,138,138,1515,C01A20A,904059508
139,139,139,255,C01B20A,901120705
140,140,140,88,C01A20B,901017807
141,141,141,3349,C01B20B,915576907
142,142,142,167,C01A20C,901094607
143,143,143,54,C01B20C,901010707
144,144,144,3411,C01A22A,916038207
145,145,145,180,C01B22A,901098307
146,146,146,52,C01A22B,901010307
147,147,147,57,C01B22B,901010907
148,148,148,171,C01A22C,901095607
149,149,149,2099,C01B22C,906517208
150,150,150,1993,C01A24A,906024908
151,151,151,1997,C01B24A,906045108
152,152,152,1544,C01A24B,904068808
153,153,153,1978,C01B24B,906017208
154,154,154,1977,C01A24C,906017108
155,155,155,1982,C01B24C,906018908
156,156,156,2543,C01A26A,909642005
157,157,157,1543,C01B26A,904068708
158,158,158,1542,C01A26B,904068508
159,159,159,1546,C01B26B,904069108
160,160,160,1541,C01A26C,904068408
161,161,161,1545,C01B26C,904068908
162,162,162,1975,C01A28A,906002808
163,163,163,1047,C01B28A,903043907
164,164,164,1562,C01A28B,904090008
165,165,165,270,C01B28B,901122206
166,166,166,1335,C01A28C,903803007
167,167,167,2750,C01B28C,911003408
168,168,168,1240,C01A29A,903513306
169,169,169,1327,C01B29A,903708607
170,170,170,3406,C01A29B,916036507
171,171,171,3658,C01B29B,922262603
172,172,172,3650,C01A29C,922232003
173,173,173,3669,C01B29C,922268903
174,174,174,1948,C01A31A,905962008
175,175,175,1950,C01B31A,905962208
176,176,176,9,C01A31B,901002009
177,177,177,2325,C01B31B,908250005
178,178,178,3649,C01A31C,922131003
179,179,179,2854,C01B31C,911130703
180,180,180,975,C01A33A,903021505
181,181,181,143,C01B33A,901062107
182,182,182,2551,C01A33B,909648205
183,183,183,2037,C01B33B,906215209
184,184,184,2857,C01A33C,911131203
185,185,185,2987,C01B33C,911827203
186,186,186,2960,C01A35A,911730303
187,187,187,3265,C01B35A,913425003
188,188,188,2245,C01A35B,907961008
189,189,189,206,C01B35B,901108307
190,190,190,184,C01A35C,901099707
191,191,191,2850,C01B35C,911130203
192,192,192,3779,C01A37A,929198903
193,193,193,3690,C01B37A,923141003
194,194,194,2693,C01A37B,910204709
195,195,195,3219,C01B37B,913345004
