,Unnamed: 0,Lokasyonlar,Urunler,Adresler,item_new_number
0,0,0,2293,C01A01A,908057507
1,1,1,2016,C01B01A,906160508
2,2,2,1993,C01A01B,906024908
3,3,3,1973,C01B01B,906000908
4,4,4,2065,C01A01C,906220108
5,5,5,2851,C01B01C,911130303
6,6,6,3662,C01A03A,922263703
7,7,7,3397,C01B03A,916017707
8,8,8,3023,C01A03B,911846203
9,9,9,2967,C01B03B,911811903
10,10,10,572,C01A03C,901692305
11,11,11,3808,C01B03C,931284803
12,12,12,3022,C01A05A,911844903
13,13,13,444,C01B05A,901383407
14,14,14,2860,C01A05B,911132503
15,15,15,1440,C01B05B,904008007
16,16,16,2455,C01A05C,908973108
17,17,17,218,C01B05C,901111708
18,18,18,1876,C01A07A,905482108
19,19,19,3866,C01B07A,942014516
20,20,20,3820,C01A07B,932176903
21,21,21,3788,C01B07B,930054016
22,22,22,970,C01A07C,903021005
23,23,23,1911,C01B07C,905604007
24,24,24,702,C01A09A,902010805
25,25,25,968,C01B09A,903020805
26,26,26,2068,C01A09B,906220508
27,27,27,1522,C01B09B,904065008
28,28,28,2991,C01A09C,911828103
29,29,29,3383,C01B09C,916014407
30,30,30,1099,C01A11A,903098407
31,31,31,872,C01B11A,902498646
32,32,32,2019,C01A11B,906165408
33,33,33,2750,C01B11B,911003408
34,34,34,48,C01A11C,901010007
35,35,35,162,C01B11C,901090308
36,36,36,2438,C01A13A,908971408
37,37,37,3701,C01B13A,923156703
38,38,38,3724,C01A13B,926141203
39,39,39,2979,C01B13B,911816203
40,40,40,3643,C01A13C,921207503
41,41,41,160,C01B13C,901085508
42,42,42,2361,C01A15A,908601105
43,43,43,3826,C01B15A,933121703
44,44,44,2773,C01A15B,911009404
45,45,45,139,C01B15B,901060107
46,46,46,3536,C01A15C,920035116
47,47,47,475,C01B15C,901611207
48,48,48,15,C01A17A,901002207
49,49,49,2111,C01B17A,906999008
50,50,50,3839,C01A17B,940095416
51,51,51,2881,C01B17B,911202307
52,52,52,3431,C01A17C,916200604
53,53,53,98,C01B17C,901018907
54,54,54,2788,C01A19A,911017007
55,55,55,1592,C01B19A,904111105
56,56,56,2625,C01A19B,909913205
57,57,57,2536,C01B19B,909640105
58,58,58,859,C01A19C,902419209
59,59,59,611,C01B19C,901822507
60,60,60,3489,C01A21A,919972007
61,61,61,2626,C01B21A,909913305
62,62,62,3238,C01A21B,913413403
63,63,63,99,C01B21B,901019107
64,64,64,3240,C01A21C,913415403
65,65,65,2581,C01B21C,909826105
